gene,cluster
Gm48633,#CD9600
Apob,#CD9600
Ldah,#F8766D
5033421B08Rik,#00BFC4
Pum2,#7CAE00
Lpin1,#F8766D
Rock2,#7CAE00
9030624G23Rik,#F8766D
Kidins220,#7CAE00
Sntg2,#CD9600
Cog5,#7CAE00
Atxn7l1,#F8766D
Snx13,#7CAE00
Agmo,#F8766D
Dock4,#CD9600
Immp2l,#00BE67
Pnpla8,#F8766D
Stxbp6,#7CAE00
Strn3,#7CAE00
Hectd1,#CD9600
Gm35188,#7CAE00
Arhgap5,#F8766D
Pnn,#F8766D
Mia2,#CD9600
Sos2,#7CAE00
Pygl,#CD9600
Gm40438,#CD9600
Daam1,#F8766D
Ppp2r5e,#F8766D
Syne2,#7CAE00
Mthfd1,#CD9600
Gphn,#00BE67
Dcaf5,#F8766D
Susd6,#F8766D
Srsf5,#F8766D
Smoc1,#F8766D
Zfyve1,#F8766D
Rbm25,#F8766D
Numb,#F8766D
Aldh6a1,#00A9FF
Lin52,#F8766D
Ylpm1,#7CAE00
Ttll5,#7CAE00
Gstz1,#CD9600
Sel1l,#F8766D
Foxn3,#CD9600
Dglucy,#F8766D
Ppp4r3a,#F8766D
Trip11,#F8766D
Btbd7,#7CAE00
Serpina1a,#F8766D
Serpina1c,#CD9600
Serpina1e,#F8766D
Clmn,#CD9600
Papola,#F8766D
Setd3,#7CAE00
Slc25a47,#F8766D
Gm34667,#00BE67
Mark3,#7CAE00
Aspg,#F8766D
Selenop,#F8766D
Ghr,#00BE67
C6,#CD9600
C9,#CD9600
Rictor,#F8766D
Lifr,#00BE67
Nipbl,#F8766D
Lmbrd2,#7CAE00
Prlr,#CD9600
Agxt2,#CD9600
Rai14,#F8766D
Zfr,#F8766D
Cdh18,#CD9600
Dap,#F8766D
Ankrd33b,#F8766D
March6,#F8766D
Sdc2,#CD9600
Cpq,#F8766D
Mtdh,#7CAE00
Vps13b,#F8766D
Ubr5,#F8766D
Dpys,#00BE67
Ext1,#F8766D
Enpp2,#CD9600
Deptor,#CD9600
Sntb1,#00A9FF
Zhx2,#F8766D
Mtss1,#00BE67
Nsmce2,#7CAE00
Trappc9,#F8766D
Ptk2,#7CAE00
Rbfox2,#F8766D
Apol9b,#7CAE00
Myh9,#7CAE00
Ddx17,#F8766D
Tnrc6b,#F8766D
St13,#7CAE00
Xpnpep3,#7CAE00
Tef,#F8766D
Aco2,#F8766D
Cyp2d22,#CD9600
AC118710.3,#00BFC4
Cyp2d26,#CD9600
Tcf20,#7CAE00
Atxn10,#7CAE00
Ppara,#00BE67
Ppp6r2,#F8766D
Kif21a,#00A9FF
Arid2,#7CAE00
Slc38a2,#F8766D
Slc38a4,#00BE67
Lima1,#F8766D
Larp4,#F8766D
Mettl7a1,#7CAE00
Pcbp2,#7CAE00
Crebbp,#F8766D
Adcy9,#CD9600
Cdip1,#F8766D
Abat,#CD9600
1810013L24Rik,#7CAE00
Txndc11,#CD9600
Zc3h7a,#F8766D
Snx29,#CD9600
Cpped1,#F8766D
Mkl2,#00BFC4
Pdxdc1,#F8766D
Marf1,#F8766D
Fgd4,#7CAE00
Pi4ka,#7CAE00
Tango2,#F8766D
Comt,#CD9600
Eif4g1,#F8766D
Tra2b,#7CAE00
Ahsg,#CD9600
Hrg,#CD9600
Kng2,#F8766D
Kng1,#00BE67
B630019A10Rik,#CD9600
Masp1,#F8766D
Bcl6,#7CAE00
Lpp,#F8766D
Il1rap,#CD9600
Gm20319,#00BE67
Atp13a3,#F8766D
Dlg1,#F8766D
Lrch3,#7CAE00
Zfp148,#F8766D
Mylk,#CD9600
Pdia5,#CD9600
Ccdc58,#7CAE00
Golgb1,#F8766D
Hgd,#00BE67
Gsk3b,#7CAE00
Nr1i2,#F8766D
Zbtb20,#CD9600
Gramd1c,#CD9600
Usf3,#F8766D
Atg3,#7CAE00
Phldb2,#F8766D
Plcxd2,#CD9600
Alcam,#7CAE00
Tomm70a,#F8766D
Cmss1,#F8766D
Gbe1,#F8766D
Cxadr,#7CAE00
Ncam2,#F8766D
Son,#F8766D
Dyrk1a,#7CAE00
Brwd1,#F8766D
Igsf5,#7CAE00
C2cd2,#7CAE00
Scaf8,#7CAE00
Arid1b,#F8766D
Zdhhc14,#7CAE00
Tulp4,#7CAE00
Mpc1,#00A9FF
Qk,#7CAE00
Park2,#00BFC4
Plg,#00BE67
Acat3,#CD9600
Afdn,#7CAE00
Lnpep,#7CAE00
Srrm2,#F8766D
Hagh,#F8766D
Crebrf,#7CAE00
D17Wsu92e,#00BFC4
Fkbp5,#F8766D
Mapk14,#F8766D
Stk38,#7CAE00
Zfand3,#F8766D
Btbd9,#F8766D
Brd4,#F8766D
Akap8l,#F8766D
Cyp4f15,#CD9600
Zfp871,#7CAE00
Cyp4f14,#F8766D
Hnrnpm,#7CAE00
March2,#F8766D
C4b,#CD9600
H2-Q10,#CD9600
Gm26917,#CD9600
Gm42418,#CD9600
AY036118,#F8766D
Slc29a1,#CD9600
Vegfa,#F8766D
Gm26904,#00BFC4
Gnmt,#00BE67
Ubr2,#F8766D
Ccnd3,#7CAE00
Tbc1d5,#F8766D
Kat2b,#F8766D
Slc25a23,#CD9600
C3,#F8766D
Efna5,#00BFC4
Fbxl17,#CD9600
Man2a1,#CD9600
Dlgap1,#F8766D
Birc6,#F8766D
Prkd3,#CD9600
Atl2,#F8766D
Galm,#CD9600
Map4k3,#7CAE00
Haao,#CD9600
Abcg5,#CD9600
Abcg8,#CD9600
Lrpprc,#F8766D
Ppm1b,#F8766D
Srbd1,#00A9FF
Prkce,#00A9FF
Epas1,#00A9FF
Fbxo11,#7CAE00
Eif2s3y,#7CAE00
Uty,#F8766D
Svil,#7CAE00
Zeb1,#F8766D
Epc1,#7CAE00
Wac,#7CAE00
Ccny,#7CAE00
Colec12,#F8766D
Rock1,#7CAE00
Mib1,#7CAE00
Npc1,#F8766D
Ttc39c,#00BE67
Cabyr,#F8766D
Osbpl1a,#CD9600
Cdh2,#CD9600
Dsg2,#7CAE00
Ttr,#CD9600
Rnf125,#00A9FF
Garem1,#CD9600
Ammecr1l,#F8766D
Wdr33,#F8766D
Lims2,#F8766D
Iws1,#F8766D
Proc,#CD9600
Map3k2,#7CAE00
Fam13b,#7CAE00
Kdm3b,#7CAE00
Ctnna1,#7CAE00
Sil1,#F8766D
Paip2,#7CAE00
Ube2d2a,#7CAE00
Ankhd1,#F8766D
Diaph1,#7CAE00
Ndfip1,#7CAE00
Arhgap26,#00A9FF
Fgf1,#F8766D
Nr3c1,#F8766D
Kcnn2,#F8766D
Cdo1,#CD9600
Dmxl1,#F8766D
Hsd17b4,#CD9600
Prr16,#CD9600
Csnk1g3,#F8766D
Gramd3,#F8766D
Aldh7a1,#F8766D
Chsy3,#F8766D
Gm4951,#00BE67
F830016B08Rik,#CD9600
Ppargc1b,#F8766D
Csnk1a1,#7CAE00
Ablim3,#CD9600
Wdr7,#F8766D
Onecut2,#F8766D
Atp8b1,#CD9600
Nedd4l,#F8766D
Ptpn2,#7CAE00
Ldlrad4,#00A9FF
Tcf4,#F8766D
Acaa2,#CD9600
Dym,#F8766D
Ctif,#CD9600
Pias2,#7CAE00
Atp9b,#7CAE00
Zfp407,#F8766D
Cyb5a,#CD9600
Cpt1a,#CD9600
Ppp6r3,#F8766D
Chka,#7CAE00
Kdm2a,#F8766D
Pcx,#CD9600
Gm21992,#00BFC4
Ccs,#CD9600
Malat1,#CD9600
Neat1,#F8766D
Macrod1,#CD9600
Rtn3,#F8766D
Atl3,#F8766D
Slc22a30,#00BE67
Stx5a,#F8766D
Fads2,#CD9600
Glyat,#F8766D
Keg1,#CD9600
Zfp91,#7CAE00
Tle4,#7CAE00
Gnaq,#F8766D
Vps13a,#F8766D
Nmrk1,#00A9FF
Abhd17b,#7CAE00
Klf9,#F8766D
Smarca2,#CD9600
9930021J03Rik,#7CAE00
Uhrf2,#7CAE00
A1cf,#00BE67
Papss2,#CD9600
Pten,#F8766D
Pank1,#CD9600
Tnks2,#F8766D
Cpeb3,#F8766D
Rbp4,#CD9600
Plce1,#7CAE00
Cyp2c70,#CD9600
Sorbs1,#F8766D
Lcor,#00BFC4
Hoga1,#00BE67
R3hcc1l,#7CAE00
Got1,#CD9600
Abcc2,#00BE67
Dnmbp,#F8766D
Chuk,#CD9600
Scd1,#00BFC4
Sema4g,#00BE67
Btrc,#7CAE00
Gbf1,#CD9600
Wbp1l,#F8766D
Nt5c2,#7CAE00
Pdcd4,#F8766D
Vti1a,#F8766D
Tcf7l2,#CD9600
Nhlrc2,#7CAE00
Atrnl1,#F8766D
Gfra1,#00BE67
Cacul1,#7CAE00
AC149090.1,#F8766D
Nr1i3,#F8766D
Esrrg,#7CAE00
Sardhos,#CD9600
Car3,#F8766D
Mme,#7CAE00
Cd1d1,#00A9FF
Mup2,#00A9FF
Cyp4a10,#7CAE00
Pon1,#CD9600
Plekha1,#C77CFF
Cyp2e1,#CD9600
Slc16a10,#F8766D
Chpt1,#F8766D
Gm32468,#7CAE00
Acss3,#7CAE00
Trhde,#00BFC4
Rdh16,#CD9600
Nrg1,#C77CFF
Haus8,#C77CFF
Rtn4,#C77CFF
Akr1c6,#CD9600
Nid1,#C77CFF
Slc12a7,#F8766D
Slc25a21,#CD9600
4930404H11Rik,#F8766D
Gm4756,#F8766D
Rad51b,#FF61CC
Ugt3a2,#F8766D
Fam83a,#FF61CC
Prodh,#F8766D
Mcc,#F8766D
Cyp2c29,#7CAE00
Cyp2c38,#7CAE00
Cyp2c54,#7CAE00
Cyp2c50,#7CAE00
Lypla1,#FF61CC
Atp6v1h,#7CAE00
Arfgef1,#7CAE00
Xkr9,#7CAE00
Tram2,#7CAE00
Lmbrd1,#7CAE00
Gm5524,#00A9FF
Dst,#7CAE00
Uggt1,#7CAE00
Kansl3,#7CAE00
Tmem131,#F8766D
Inpp4a,#7CAE00
Eif5b,#7CAE00
Tbc1d8,#F8766D
Ercc5,#7CAE00
Stat1,#7CAE00
Nab1,#7CAE00
Pms1,#7CAE00
Gtf3c3,#7CAE00
Pgap1,#7CAE00
Hspd1,#7CAE00
Mob4,#7CAE00
Aox1,#00A9FF
Mpp4,#7CAE00
Ino80d,#7CAE00
Ndufs1,#F8766D
Pikfyve,#7CAE00
Acadl,#7CAE00
Mreg,#7CAE00
Xrcc5,#7CAE00
Ttll4,#7CAE00
Atg9a,#7CAE00
Irs1,#00A9FF
Rhbdd1,#7CAE00
2810459M11Rik,#7CAE00
Atg16l1,#F8766D
Spp2,#FF61CC
Agap1,#7CAE00
Ube2f,#7CAE00
Scly,#7CAE00
Ilkap,#7CAE00
Hdac4,#7CAE00
Agxt,#FF61CC
Farp2,#F8766D
Pign,#7CAE00
Zcchc2,#7CAE00
Bcl2,#C77CFF
Clasp1,#7CAE00
Insig2,#00A9FF
Mgat5,#7CAE00
Acmsd,#F8766D
Dars,#7CAE00
C4bp,#00A9FF
Pfkfb2,#00A9FF
Mapkapk2,#7CAE00
Pm20d1,#00A9FF
Elk4,#7CAE00
Mfsd4a,#7CAE00
Plekha6,#00A9FF
Tmem183a,#7CAE00
Rnpep,#7CAE00
Timm17a,#7CAE00
Platr22,#7CAE00
F13b,#00A9FF
Cfhr1,#F8766D
Cdc73,#7CAE00
Tpr,#7CAE00
Swt1,#7CAE00
Trmt1l,#7CAE00
Fam129a,#C77CFF
Edem3,#7CAE00
Smg7,#7CAE00
Dhx9,#7CAE00
Xpr1,#7CAE00
Qsox1,#F8766D
Ralgps2,#7CAE00
Cop1,#7CAE00
4930523C07Rik,#00A9FF
Prdx6,#F8766D
Fmo1,#F8766D
Scyl3,#7CAE00
Slc19a2,#00A9FF
Mpc2,#7CAE00
Pou2f1,#7CAE00
Ildr2,#7CAE00
Dusp12,#7CAE00
Sdhc,#7CAE00
Tomm40l,#00A9FF
Apoa2,#7CAE00
Nit1,#7CAE00
Copa,#F8766D
Pex19,#7CAE00
Fh1,#7CAE00
Sdccag8,#7CAE00
Adss,#7CAE00
Ahctf1,#7CAE00
Coq8a,#00A9FF
Psen2,#00A9FF
Nvl,#7CAE00
Enah,#C77CFF
Mia3,#F8766D
C130074G19Rik,#7CAE00
Iars2,#7CAE00
Gpatch2,#F8766D
Ptpn14,#C77CFF
Rps6kc1,#7CAE00
Ints7,#7CAE00
G0s2,#00A9FF
Plxna2,#7CAE00
Dclre1c,#7CAE00
Fam107b,#00A9FF
Prpf18,#7CAE00
Bend7,#7CAE00
Cdc123,#7CAE00
Gm13267,#00A9FF
Upf2,#7CAE00
Proser2,#7CAE00
Echdc3,#00A9FF
Taf3,#7CAE00
Atp5c1,#7CAE00
Nsun6,#7CAE00
Yme1l1,#7CAE00
Pnpla7,#F8766D
Nsmf,#7CAE00
Entpd8,#F8766D
C8g,#7CAE00
Nacc2,#7CAE00
Sec16a,#F8766D
Vav2,#00A9FF
Brd3,#00A9FF
Rxra,#CD9600
Tsc1,#00A9FF
Ttf1,#7CAE00
Med27,#7CAE00
Gm13402,#7CAE00
Rapgef1,#F8766D
Gle1,#7CAE00
Miga2,#CD9600
Tor1b,#7CAE00
Fnbp1,#7CAE00
Gpr107,#7CAE00
Nup214,#7CAE00
Prrc2b,#7CAE00
Zbtb43,#7CAE00
Gm13449,#7CAE00
Cntrl,#7CAE00
Rab14,#7CAE00
Nek6,#7CAE00
Psmb7,#7CAE00
Golga1,#7CAE00
Ppp6c,#7CAE00
Orc4,#7CAE00
Epc2,#7CAE00
Rif1,#7CAE00
Arl5a,#7CAE00
Prpf40a,#7CAE00
Gpd2,#7CAE00
Acvr1,#00A9FF
March7,#7CAE00
Rbms1,#F8766D
Psmd14,#7CAE00
Fign,#7CAE00
Cers6,#7CAE00
Nostrin,#7CAE00
Fastkd1,#7CAE00
Ppig,#7CAE00
Ssb,#7CAE00
Gorasp2,#7CAE00
Mettl8,#7CAE00
Slc25a12,#7CAE00
Metap1d,#00A9FF
Rapgef4os1,#FF61CC
Rapgef4os2,#7CAE00
Ola1,#7CAE00
Cir1,#7CAE00
Scrn3,#7CAE00
Mtx2,#7CAE00
Hnrnpa3,#7CAE00
Nfe2l2,#7CAE00
Zc3h15,#7CAE00
Fnbp4,#7CAE00
Mtch2,#7CAE00
Ndufs3,#7CAE00
Nr1h3,#7CAE00
Arfgap2,#00A9FF
Lrp4,#7CAE00
Ckap5,#7CAE00
F2,#CD9600
Atg13,#7CAE00
Pex16,#7CAE00
Cry2,#00A9FF
Ext2,#00A9FF
Api5,#7CAE00
Ldlrad3,#00A9FF
Gm13919,#FF61CC
Pamr1,#C77CFF
Ehf,#C77CFF
Nat10,#7CAE00
Hipk3,#7CAE00
Depdc7,#00A9FF
Immp1l,#7CAE00
Mettl15,#7CAE00
Slc12a6,#FF61CC
Aven,#7CAE00
Rmdn3,#7CAE00
Rtf1,#7CAE00
Mga,#7CAE00
Tmem87a,#7CAE00
Ganc,#00A9FF
Zfp106,#F8766D
Snap23,#7CAE00
Ubr1,#7CAE00
Pdia3,#00A9FF
Ctdspl2,#7CAE00
Eif3j1,#7CAE00
B2m,#7CAE00
Secisbp2l,#7CAE00
Usp8,#7CAE00
Usp50,#7CAE00
Mrps5,#7CAE00
Anapc1,#7CAE00
Mertk,#7CAE00
Idh3b,#7CAE00
Ptpra,#7CAE00
Mavs,#00A9FF
Slc23a2,#7CAE00
9630028H03Rik,#00A9FF
Slx4ip,#7CAE00
Tasp1,#7CAE00
Sec23b,#7CAE00
Dtd1,#7CAE00
Cfap61,#7CAE00
Gzf1,#7CAE00
Csnk2a1,#7CAE00
H13,#7CAE00
Trp53inp2,#7CAE00
Gss,#7CAE00
Trpc4ap,#7CAE00
Edem2,#7CAE00
Cpne1,#FF61CC
Nfs1,#7CAE00
Ndrg3,#7CAE00
Ctnnbl1,#7CAE00
Rprd1b,#7CAE00
Ralgapb,#7CAE00
Mafb,#F8766D
Plcg1,#00A9FF
Srsf6,#7CAE00
Sgk2,#00A9FF
Pkig,#7CAE00
Zmynd8,#7CAE00
Stau1,#00A9FF
Slc9a8,#7CAE00
Atp9a,#7CAE00
Rtf2,#7CAE00
Ctcfl,#7CAE00
Zfp970,#7CAE00
Osbpl2,#7CAE00
Arfgap1,#7CAE00
Helz2,#7CAE00
Gmeb2,#7CAE00
Pcmtd2,#7CAE00
Gripap1,#00A9FF
Otud5,#7CAE00
Sytl5,#C77CFF
Ddx3x,#7CAE00
Kdm6a,#7CAE00
Rgn,#00A9FF
Rbm10,#7CAE00
Mcts1,#7CAE00
Zdhhc9,#7CAE00
Utp14a,#7CAE00
Aifm1,#00A9FF
Mtmr1,#7CAE00
Ikbkg,#7CAE00
Pls3,#7CAE00
Zfx,#7CAE00
Ar,#F8766D
Eda,#7CAE00
Taf1,#7CAE00
Phka1,#7CAE00
Jpx,#7CAE00
Ftx,#7CAE00
Pgk1,#7CAE00
Sh3bgrl,#7CAE00
Col4a5,#C77CFF
Apex2,#F8766D
Fam120c,#7CAE00
Phf8,#7CAE00
Smc1a,#7CAE00
Kdm5c,#7CAE00
Shroom2,#F8766D
Phka2,#00A9FF
Cdkl5,#7CAE00
Mrps28,#7CAE00
Impa1,#00A9FF
Mtfr1,#7CAE00
Nceh1,#7CAE00
Fndc3b,#7CAE00
1700112D23Rik,#00A9FF
Sec62,#7CAE00
Phc3,#7CAE00
Mfn1,#7CAE00
Platr4,#7CAE00
Jade1,#7CAE00
Naa15,#7CAE00
Lhfp,#C77CFF
Smad9,#7CAE00
Wwtr1,#7CAE00
4921539H07Rik,#FF61CC
Aadac,#00A9FF
Dhx36,#7CAE00
Slc33a1,#7CAE00
Gmps,#7CAE00
Gfm1,#7CAE00
Rarres1,#FF61CC
Etfdh,#7CAE00
Fga,#7CAE00
Trim2,#FF61CC
Gatb,#7CAE00
Rrnad1,#7CAE00
Mef2d,#7CAE00
Sema4a,#7CAE00
Gon4l,#7CAE00
Pklr,#7CAE00
Clk2,#7CAE00
Efna1,#7CAE00
Flad1,#7CAE00
Them4,#00A9FF
Rorc,#7CAE00
Pogz,#7CAE00
Selenbp1,#00A9FF
Pi4kb,#7CAE00
Psmd4,#7CAE00
Pip5k1a,#7CAE00
Gabpb2,#7CAE00
Mindy1,#7CAE00
Cers2,#7CAE00
Rprd2,#7CAE00
Otud7b,#7CAE00
Pdzk1,#00A9FF
Sec22b,#7CAE00
Notch2,#7CAE00
Gdap2,#7CAE00
A230001M10Rik,#C77CFF
Ngf,#C77CFF
Csde1,#7CAE00
Hipk1,#7CAE00
St7l,#7CAE00
Dram2,#7CAE00
Ahcyl1,#7CAE00
Amy1,#7CAE00
Rnpc3,#7CAE00
Slc35a3,#7CAE00
Frrs1,#7CAE00
Palmd,#7CAE00
Tmem56,#00A9FF
Cnn3,#F8766D
Gclm,#7CAE00
Bcar3,#CD9600
Enpep,#7CAE00
Elovl6,#F8766D
Cfi,#00A9FF
Hadh,#00A9FF
Cyp2u1,#7CAE00
Sgms2,#7CAE00
Tbck,#7CAE00
Manba,#7CAE00
Mttp,#F8766D
Gm43691,#7CAE00
Gm16559,#7CAE00
Adh4,#CD9600
Adh5,#7CAE00
Rap1gds1,#7CAE00
Ddah1,#00A9FF
Dnajb4,#7CAE00
Acadm,#00A9FF
Zranb2,#7CAE00
Tgs1,#7CAE00
Lyn,#7CAE00
Car8,#00A9FF
Asph,#7CAE00
Ndufaf6,#7CAE00
Virma,#7CAE00
Decr1,#7CAE00
Ttpa,#F8766D
Usp45,#7CAE00
Coq3,#7CAE00
Ndufaf4,#7CAE00
Ufl1,#7CAE00
Map3k7,#7CAE00
Bach2,#F8766D
Rngtt,#7CAE00
Orc3,#7CAE00
Rars2,#7CAE00
Aco1,#00A9FF
Dnaja1,#00A9FF
Ubap2,#7CAE00
Vcp,#00A9FF
Grhpr,#00A9FF
Dcaf10,#7CAE00
Stra6l,#7CAE00
Xpa,#7CAE00
Trim14,#00A9FF
Gabbr2,#00A9FF
Stx17,#7CAE00
Erp44,#7CAE00
Baat,#7CAE00
Zfp462,#C77CFF
Tmem245,#7CAE00
Epb41l4b,#00A9FF
Dnajc25,#FF61CC
Hsdl2,#7CAE00
E130308A19Rik,#7CAE00
Mup20,#F8766D
Fkbp15,#F8766D
Alad,#7CAE00
Megf9,#7CAE00
Tle1,#CD9600
Kdm4c,#7CAE00
Ttc39b,#F8766D
Snapc3,#7CAE00
Plin2,#7CAE00
Dennd4c,#7CAE00
Focad,#7CAE00
Caap1,#7CAE00
Plaa,#7CAE00
Mysm1,#7CAE00
Hook1,#7CAE00
Angptl3,#00A9FF
E130102H24Rik,#7CAE00
0610043K17Rik,#F8766D
Lepr,#FF61CC
Pde4b,#7CAE00
Fyb2,#7CAE00
Plpp3,#CD9600
Usp24,#7CAE00
Dhcr24,#00A9FF
Yipf1,#7CAE00
Cpt2,#7CAE00
Zyg11a,#7CAE00
Zyg11b,#7CAE00
Nrd1,#7CAE00
Cyp4a12a,#7CAE00
Cyp4a12b,#7CAE00
Cyp4a32,#F8766D
Faah,#F8766D
Mast2,#7CAE00
Gpbp1l1,#7CAE00
Akr1a1,#7CAE00
Prdx1,#7CAE00
Zswim5,#7CAE00
Eif2b3,#7CAE00
Plk3,#7CAE00
Tmem53,#7CAE00
Eri3,#7CAE00
Atp6v0b,#7CAE00
Kdm4a,#7CAE00
AU022252,#7CAE00
Trit1,#7CAE00
Pabpc4,#7CAE00
Inpp5b,#7CAE00
Stk40,#7CAE00
Psmb2,#7CAE00
AU040320,#7CAE00
Phc2,#7CAE00
Yars,#7CAE00
Bsdc1,#7CAE00
Ptp4a2,#7CAE00
Mecr,#7CAE00
Eya3,#7CAE00
Wdtc1,#00A9FF
Nr0b2,#00A9FF
Dhdds,#7CAE00
Pafah2,#7CAE00
Paqr7,#7CAE00
Srrm1,#F8766D
Fuca1,#7CAE00
Hmgcl,#00A9FF
Asap3,#7CAE00
Tcea3,#00A9FF
Usp48,#7CAE00
Hp1bp3,#7CAE00
Cda,#7CAE00
Tmco4,#7CAE00
Capzb,#7CAE00
Ubr4,#7CAE00
Iffo2,#7CAE00
Arhgef10l,#7CAE00
Sdhb,#00A9FF
Szrd1,#7CAE00
Fbxo42,#7CAE00
Arhgef19,#00A9FF
Epha2,#7CAE00
Spen,#7CAE00
Dhrs3,#00A9FF
Tnfrsf1b,#7CAE00
Zfp981,#F8766D
Zfp933,#7CAE00
Mfn2,#00A9FF
Mtor,#7CAE00
Dffa,#7CAE00
H6pd,#00A9FF
Prkcz,#00A9FF
Cdk11b,#7CAE00
Ssu72,#7CAE00
Atad3a,#7CAE00
Dvl1,#7CAE00
Ube2j2,#7CAE00
Cdk6,#7CAE00
Fam133b,#7CAE00
Pex1,#7CAE00
Krit1,#7CAE00
Abcb4,#CD9600
Tmem243,#7CAE00
Dmtf1,#7CAE00
Rsbn1l,#7CAE00
Orc5,#7CAE00
6030443J06Rik,#7CAE00
Rint1,#7CAE00
1500035N22Rik,#00A9FF
Gm26608,#00A9FF
Ube3c,#7CAE00
Hadha,#F8766D
Hadhb,#7CAE00
Selenoi,#00A9FF
Mapre3,#7CAE00
Preb,#7CAE00
Gtf3c2,#FF61CC
Eif2b4,#7CAE00
Slc4a1ap,#7CAE00
Prr14l,#7CAE00
Uvssa,#7CAE00
Mxd4,#7CAE00
Hgfac,#00A9FF
Acox3,#FF61CC
Stx18,#7CAE00
Slc2a9,#CD9600
Bod1l,#7CAE00
Tapt1,#F8766D
Qdpr,#7CAE00
Lap3,#00A9FF
Lcorl,#7CAE00
Ppargc1a,#7CAE00
Sepsecs,#F8766D
Gm30301,#7CAE00
Sel1l3,#7CAE00
Rell1,#7CAE00
Pgm1,#FF61CC
Klf3,#7CAE00
Fam114a1,#7CAE00
Klhl5,#7CAE00
Klb,#00A9FF
Lias,#7CAE00
Smim14,#7CAE00
N4bp2,#F8766D
Dcun1d4,#7CAE00
Fip1l1,#7CAE00
Chic2,#7CAE00
Clock,#7CAE00
Paics,#7CAE00
Srp72,#7CAE00
Hopx,#7CAE00
Stap1,#7CAE00
Ythdc1,#F8766D
Ugt2b5,#7CAE00
Ugt2a3,#F8766D
Sult1d1,#00A9FF
Grsf1,#7CAE00
Slc4a4,#7CAE00
Gm19619,#7CAE00
G3bp2,#7CAE00
Uso1,#7CAE00
Antxr2,#7CAE00
Hnrnpd,#7CAE00
Ptpn13,#C77CFF
Aff1,#7CAE00
Hsd17b11,#7CAE00
BC005561,#F8766D
Tmed5,#7CAE00
Pcgf3,#7CAE00
Gak,#7CAE00
Dgkq,#7CAE00
Slc26a1,#00A9FF
Golga3,#7CAE00
Fbrsl1,#7CAE00
Ulk1,#7CAE00
Mn1,#00A9FF
Acacb,#7CAE00
Ube3b,#7CAE00
Hnf1a,#7CAE00
Rnf10,#7CAE00
Pxn,#7CAE00
Hspb8,#7CAE00
Srrm4os,#7CAE00
Suds3,#7CAE00
Fbxo21,#00A9FF
Fbxw8,#7CAE00
Med13l,#F8766D
Tbx3,#FF61CC
Sds,#00A9FF
Hectd4,#7CAE00
Naa25,#7CAE00
Acad10,#00A9FF
Gm16552,#00A9FF
Camkk2,#7CAE00
Tmem120b,#7CAE00
Setd1b,#7CAE00
Bcl7a,#7CAE00
Clip1,#7CAE00
Zcchc8,#7CAE00
Rsrc2,#7CAE00
Hip1r,#7CAE00
Vps37b,#7CAE00
Pitpnm2,#00A9FF
Sbno1,#7CAE00
Ncor2,#7CAE00
Slc15a4,#00A9FF
Sfswap,#F8766D
Nipsnap2,#7CAE00
Rabgef1,#7CAE00
Tmem248,#7CAE00
Auts2,#C77CFF
Gtf2i,#F8766D
Gtf2ird1,#7CAE00
Tmem120a,#7CAE00
Gm16599,#7CAE00
Srrt,#7CAE00
Epo,#7CAE00
Gigyf1,#7CAE00
Agfg2,#7CAE00
Fam20c,#7CAE00
3110082I17Rik,#7CAE00
Gpr146,#7CAE00
Mad1l1,#7CAE00
Foxk1,#7CAE00
Wipi2,#7CAE00
Tnrc18,#F8766D
Kdelr2,#7CAE00
Daglb,#7CAE00
Eif2ak1,#7CAE00
Ccz1,#7CAE00
Zfp655,#7CAE00
Cyp3a59,#FF61CC
Mtif3,#7CAE00
Lnx2,#7CAE00
Slc46a3,#7CAE00
Ubl3,#7CAE00
Pds5b,#7CAE00
Stard13,#00A9FF
Casd1,#7CAE00
Pon3,#00A9FF
Umad1,#FF61CC
Bmt2,#7CAE00
St7,#7CAE00
Cftr,#C77CFF
Cttnbp2,#C77CFF
Wasl,#7CAE00
Rbm28,#7CAE00
Nrf1,#7CAE00
Copg2,#7CAE00
Creb3l2,#7CAE00
Trim24,#7CAE00
Braf,#7CAE00
Mgam,#00A9FF
Zfp746,#7CAE00
Rarres2,#FF61CC
Snx10,#7CAE00
Skap2,#7CAE00
Tax1bp1,#F8766D
Creb5,#C77CFF
Wipf3,#7CAE00
Plekha8,#7CAE00
Abcg2,#00A9FF
Serbp1,#7CAE00
Fabp1,#F8766D
Immt,#7CAE00
Ptcd3,#7CAE00
Polr1a,#7CAE00
Ggcx,#00A9FF
Elmod3,#7CAE00
Suclg1,#00A9FF
Dqx1,#FF61CC
Tet3,#7CAE00
Nat8f2,#F8766D
Nat8f1,#7CAE00
Tprkb,#00A9FF
Dusp11,#7CAE00
1600020E01Rik,#F8766D
Rab43,#FF61CC
Sec61a1,#7CAE00
Mgll,#CD9600
Nup210,#7CAE00
Adamts9,#C77CFF
9530026P05Rik,#C77CFF
Slc25a26,#7CAE00
Mitf,#7CAE00
Shq1,#7CAE00
Arl8b,#7CAE00
Edem1,#00A9FF
Irak2,#F8766D
Atg7,#F8766D
Washc2,#7CAE00
Cxcl12,#00A9FF
Wnt5b,#7CAE00
Atp6v1e1,#7CAE00
Bcl2l13,#7CAE00
Mical3,#F8766D
Gm43915,#7CAE00
Gm44148,#7CAE00
Slc6a13,#00A9FF
