gene,cluster
Noct,#F8766D
Elf2,#7CAE00
Foxo1,#CD9600
Rnf13,#7CAE00
Tsc22d2,#7CAE00
Mbnl1,#F8766D
Arhgef26,#CD9600
Ccnl1,#F8766D
Rsrc1,#7CAE00
Kpna4,#7CAE00
Ppm1l,#7CAE00
Golim4,#F8766D
Rapgef2,#7CAE00
Fnip2,#7CAE00
Tdo2,#00BE67
Fgg,#F8766D
Fgb,#F8766D
Tmem131l,#7CAE00
Sh3d19,#F8766D
Lrba,#7CAE00
Arhgef11,#F8766D
2810403A07Rik,#00BFC4
Ash1l,#F8766D
Il6ra,#F8766D
Ubap2l,#7CAE00
Gatad2b,#F8766D
Selenbp2,#CD9600
Arnt,#F8766D
Fmo5,#00BE67
Pde4dip,#CD9600
Hmgcs2,#CD9600
Zfp697,#F8766D
Hsd3b5,#F8766D
Hsd3b2,#CD9600
Hsd3b3,#00BE67
Magi3,#F8766D
Rap1a,#7CAE00
Cept1,#7CAE00
Prpf38b,#F8766D
Agl,#F8766D
Dpyd,#00BE67
Abcd3,#CD9600
Arhgap29,#F8766D
Sec24d,#F8766D
Tet2,#7CAE00
Ube2d3,#7CAE00
Ppp3ca,#F8766D
0610031O16Rik,#00BFC4
Adh7,#F8766D
Adh1,#CD9600
Pdlim5,#7CAE00
Kyat3,#F8766D
Uox,#00BE67
Dnase2b,#CD9600
Adgrl2,#F8766D
Gm31121,#F8766D
Fubp1,#F8766D
Usp33,#7CAE00
Zzz3,#7CAE00
Cth,#CD9600
Ankrd13c,#F8766D
Srsf11,#F8766D
Cyp7a1,#F8766D
Rab2a,#7CAE00
Chd7,#F8766D
Necab1,#F8766D
Rmdn1,#F8766D
Gm12353,#7CAE00
Wwp1,#F8766D
Pnisr,#F8766D
Zfp292,#7CAE00
Mob3b,#F8766D
B4galt1,#F8766D
Nfx1,#F8766D
Ube2r2,#F8766D
Gne,#CD9600
Rnf38,#7CAE00
Zcchc7,#F8766D
Slc25a51,#F8766D
Shb,#F8766D
Acnat1,#F8766D
Aldob,#F8766D
Abca1,#CD9600
Rad23b,#F8766D
Ptpn3,#F8766D
AI314180,#00BFC4
Ptbp3,#7CAE00
Mup3,#F8766D
Gm12909,#F8766D
Slc31a1,#7CAE00
Ambp,#7CAE00
