"Gene.Symbol","pvalue","log2FoldChange"
"0610009B22Rik",0.0655754733637625,-0.192658889128521
"0610009E02Rik",0.150468497557456,-0.461278676341196
"0610009L18Rik",0.549359449793714,0.248852022869036
"0610010K14Rik",0.994765236271274,-0.00192597389373121
"0610012D04Rik",0.886117114401431,-0.147462277591393
"0610012G03Rik",0.0770046374589845,-0.199460936832477
"0610025J13Rik",0.546855570882846,-0.903317542282434
"0610030E20Rik",0.0109884375176283,-0.240765470436753
"0610031O16Rik",0.000190274945958002,-0.593618368651577
"0610033M10Rik",0.352323324798002,-2.01240054380225
"0610038B21Rik",0.893290141415981,0.129719413683509
"0610039K10Rik",0.54514412365995,0.387598005518748
"0610040B10Rik",0.582000657663656,-0.118111384811906
"0610040F04Rik",6.14458495450283e-05,2.47600120734369
"0610040J01Rik",0.00836417327631716,-0.308700001692208
"0610043K17Rik",0.808537775139393,0.0513591593586531
"1010001B22Rik",0.223531503236104,-0.687949745001487
"1110002E22Rik",0.804268581432447,-0.126365013634897
"1110002J07Rik",0.952480259534361,0.0182431123664912
"1110002L01Rik",0.842483749077685,0.0436870159676618
"1110002O04Rik",0.586127715155506,1.68309674580621
"1110003F10Rik",0.226069135145126,0.476047293404971
"1110004F10Rik",0.0375361715765567,-0.1949809943948
"1110006O24Rik",0.287157333769056,0.273655068133425
"1110017D15Rik",0.0489460794238048,1.96002393611351
"1110018N20Rik",0.336487775898365,-0.221001725694739
"1110019D14Rik",0.252968716921987,-0.231499419506321
"1110020A21Rik",0.57022577650923,-0.131235020849327
"1110025M09Rik",0.22199257952799,0.259808343937673
"1110028F11Rik",0.641438611625563,-0.168241152009297
"1110032A03Rik",2.09977759859022e-05,-0.388662501679579
"1110032F04Rik",0.761570637445468,1.07084936913107
"1110035H17Rik",0.867273260095107,0.113742886368602
"1110038B12Rik",0.00762003752708503,0.303383782912737
"1110038F14Rik",0.401108401963529,-0.0987313573999699
"1110046J04Rik",0.0470310911657963,1.19460149432374
"1110051M20Rik",5.22044572480494e-07,0.88362506616927
"1110059E24Rik",0.0803699753980766,-0.208775346993266
"1110059G10Rik",0.860548311940921,0.0198104367241125
"1110065P20Rik",0.166686918548766,0.252870872920178
"1190005I06Rik",0.237928123490854,-0.567813316964645
"1190007I07Rik",0.0725607657464758,-0.213094209799557
"1200007C13Rik",0.00629538106529825,1.09360859078029
"1300002E11Rik",0.409992389060349,-0.0917566096582858
"1300017J02Rik",0.00233351590298748,-0.465589910240831
"1500002C15Rik",0.128516589070573,0.366204470186048
"1500002F19Rik",0.927552613582346,0.0844678557113421
"1500004A13Rik",0.114558083801149,0.267797477768391
"1500005C15Rik",0.485865312858182,1.18543129959123
"1500009L16Rik",0.0534784985500593,3.02160605738097
"1500011B03Rik",0.0129067007304523,0.630420784199506
"1500015A07Rik",0.581246953042592,-0.0931988970538437
"1500015L24Rik",0.652882529619452,-0.405335395701892
"1500026H17Rik",0.884399003531885,-0.0265036007676547
"1500035N22Rik",0.584368690579322,1.27783029884179
"1520401A03Rik",0.00503944120790127,1.6455614607704
"1600010M07Rik",0.0128121652294184,1.36167591840837
"1600012H06Rik",0.928033791476553,0.0073972010760763
"1600014C10Rik",0.00273377788050732,-0.353011695701726
"1600020E01Rik",0.050015526935685,-0.232203414388191
"1600023N17Rik",0.900484459705835,-0.0724965672670098
"1700001C19Rik",0.644184841543676,-0.0913832518431793
"1700001G11Rik",0.369577122325607,2.1038566834379
"1700001G17Rik",0.954880430141162,0.0492259113663358
"1700001J03Rik",0.00356635496011846,2.31134925684858
"1700001K19Rik",0.481643789470318,0.449495666470026
"1700001L05Rik",0.119567735153419,0.32433877977684
"1700001L19Rik",0.222391377536893,1.99435879887415
"1700001O22Rik",0.795261522864063,0.272563875960528
"1700001P01Rik",0.0392838760359875,1.84165885161023
"1700003D09Rik",0.816108482277354,0.189282993573624
"1700003E16Rik",0.0147593081917112,-0.491971101667487
"1700003F12Rik",0.242467343365172,0.846538482413026
"1700003G18Rik",0.198582645309572,1.18336040341372
"1700003I16Rik",0.221984544604757,2.28278682303266
"1700003N22Rik",0.547326505907004,0.338900528787781
"1700006J14Rik",0.159882565757058,1.51593474230423
"1700007F19Rik",0.343248352272584,1.11424074542673
"1700007J10Rik",0.637471327561188,0.233278141394612
"1700007K13Rik",0.103871726147126,1.25287419251974
"1700007L15Rik",0.616980482816161,0.100197776477118
"1700008A23Rik",0.765520680557476,1.05283015388876
"1700008B11Rik",0.261151798675421,0.499730344036537
