"Gene.Symbol","log2FoldChange","pvalue","padj"
"Htra3",2.10330335071821,1.03155809883447e-11,2.06345656359741e-09
"Adamts5",1.57626436476079,1.03742021033527e-11,2.06345656359741e-09
"Cyp2d22",-0.502384996011216,1.04191058983574e-11,2.06345656359741e-09
"Fermt1",2.34097788849971,1.0660313146116e-11,2.08750491584843e-09
"Plcb1",-0.410631782638092,1.24796250548465e-11,2.41661006062072e-09
"Slc7a11",7.44335314695492,1.42227564531296e-11,2.72389230181475e-09
"Mmp2",2.329890671833,1.46061813457625e-11,2.76691878797771e-09
"Cdkn2c",1.32495331039647,1.90351931189068e-11,3.56715425458395e-09
"Gstp1",-0.838859589513042,1.97767787829355e-11,3.64175198690467e-09
"Rnf150",1.29262622480685,1.9851184229742e-11,3.64175198690467e-09
"Cd63",3.63309199408416,2.14836622514719e-11,3.90017985123596e-09
"Ugt1a6b",-0.333849040371155,2.23757883338658e-11,4.02026019672797e-09
"Gdf10",1.24821336170053,2.41809906411587e-11,4.30026841728688e-09
"Col5a2",2.53922381351192,2.88638533801537e-11,5.08120441120525e-09
"Lama2",1.6800944471065,2.95624292297462e-11,5.15214016616017e-09
"Cyp2d9",-0.996285368879444,3.14675596103017e-11,5.42986761275582e-09
"Robo2",1.61129841190178,3.20031350669172e-11,5.4681435092768e-09
"Itgb8",2.00816977794725,4.11883671921988e-11,6.96923168374409e-09
"St14",3.1220544359828,4.47946567105458e-11,7.50655074184032e-09
"Adamtsl3",1.81358112079082,5.88490891191896e-11,9.76782785875463e-09
"Ccdc120",3.02350385721408,6.224264988003e-11,1.02336311519732e-08
"Gabrp",6.16760359002831,6.39544923707496e-11,1.04168120844619e-08
"C1qtnf7",1.44352891239098,7.03728540122386e-11,1.13560935159749e-08
"Pamr1",1.71078065930997,7.11292106793211e-11,1.1372842969901e-08
"Usp43",4.44346194870892,7.2942226655923e-11,1.15567011469039e-08
"Emp2",1.67365826194328,7.47840663381245e-11,1.17417721454129e-08
"Myo6",-0.423771607363886,7.99180966071291e-11,1.23502591384431e-08
"Adam8",3.13918563861641,8.00768466056958e-11,1.23502591384431e-08
"Capn6",2.27527130216073,9.2607654696779e-11,1.41575982987321e-08
"Ly6d",4.92670963856321,9.70666955767084e-11,1.47102467000945e-08
"Plod2",2.3171923919658,1.01452055827213e-10,1.52422968013506e-08
"Ninl",1.15035117883999,1.05068058186614e-10,1.56506505818488e-08
"Pcdh9",2.43828476006423,1.16160397144335e-10,1.71268655427299e-08
