"Gene.Symbol","pvalue","log2FoldChange"
"0610005C13Rik",0.116495778215144,-0.200513736281057
"0610007C21Rik",0.904032413526,-0.00897733024317283
"0610007L01Rik",0.0140027664506286,-0.19423981864599
"0610007P08Rik",0.127875551081801,-0.131505518234701
"0610007P14Rik",0.00293603255675614,-0.430868052689616
"0610007P22Rik",0.0439338824243883,-0.198510895966051
"0610008F07Rik",0.0472794448742594,-0.582963357068241
"0610009B22Rik",0.0411330963290948,-0.181973297221988
"0610009D07Rik",0.350435484698329,-0.0809240718065919
"0610009E02Rik",0.331652230233365,-0.15933767108659
"0610009L18Rik",0.786076572905249,0.112235257391626
"0610009O20Rik",0.0767059929749306,0.126522588296104
"0610010F05Rik",0.874093065278852,0.0135894662107414
"0610010K14Rik",0.108117862870298,-0.229479944566964
"0610010O12Rik",0.380336592190857,-0.196304577397
"0610011F06Rik",0.71508068025206,0.0361732332054376
"0610011L14Rik",0.615470610605749,-0.0475196035227858
"0610012D04Rik",0.852154727629057,0.116186715868435
"0610012G03Rik",0.366519419595126,0.0803705314626185
"0610012H03Rik",0.331491725908404,0.141958865013921
"0610030E20Rik",0.00145299140167456,-0.32509190448042
"0610031J06Rik",0.221906459249637,0.100266619291038
"0610037L13Rik",0.26035605012053,-0.10223477647462
"0610037P05Rik",0.103126241729783,0.175072077485669
"0610039K10Rik",0.73507078726283,-0.0915316704496526
"0610040B10Rik",0.0835363917971421,-0.40455397251771
"0610040F04Rik",0.000606412160941279,1.08688135333513
"0610040J01Rik",2.41551190551253e-06,0.404132677338399
"0610043K17Rik",0.484709559252947,-0.199981019135444
"0910001L09Rik",0.202694532317297,0.111527065213879
"1010001N08Rik",0.0744548624709048,-0.656393275795542
"1100001G20Rik",0.270392801686211,-0.174595239191771
"1110001A16Rik",0.417652074398575,-0.0793291125396055
"1110001J03Rik",0.0968934066219811,-0.186632845617578
"1110002B05Rik",0.469266811404427,-0.078661189447759
"1110002L01Rik",0.349116002726827,-0.214398420333443
"1110002N22Rik",0.936841693052367,-0.0122619134694722
"1110003E01Rik",0.0653331637604343,0.169006612114356
"1110003O08Rik",0.247029016425989,-0.359357629907073
"1110004E09Rik",0.213332974752935,-0.136081965509453
"1110004F10Rik",0.0804213710658036,-0.16781342556696
"1110005A03Rik",0.948135970753238,-0.00719948939525934
"1110006G14Rik",0.932310112742557,-0.0184090121801186
"1110007C09Rik",0.15169949591678,0.230421194957881
"1110008F13Rik",0.827428458266494,0.0243798649914863
"1110008J03Rik",0.592321381444344,-0.0977995213414488
"1110008L16Rik",0.0103208542525198,-0.235592833545117
"1110008P14Rik",0.534258187537943,0.0640954714276296
"1110012D08Rik",0.383250732665903,0.0931659013725719
"1110012J17Rik",0.0627204140100899,0.800676201217325
