"Gene.Symbol","pvalue","log2FoldChange"
"0610005C13Rik",0.000765605286830124,-0.451832738526105
"0610009B22Rik",0.052985360429056,-0.38426749801672
"0610009E02Rik",0.00250100263283403,-3.12101022045103
"0610009L18Rik",0.797994941924379,-0.302817134326483
"0610010K14Rik",0.485579899892595,-2.41622768141037
"0610012G03Rik",0.0172517324988556,-0.45414379473657
"0610030E20Rik",0.0141370849385166,-0.46548831360487
"0610031O16Rik",0.00283908066924043,-0.778992412798599
"0610038B21Rik",0.854314209608261,0.648866595376929
"0610039K10Rik",0.682759621840068,-0.68297114836767
"0610040B10Rik",0.745071644022787,-0.224034331877333
"0610040F04Rik",0.36311174710285,-3.12263336970472
"0610040J01Rik",0.00424778431957469,-0.403562293468548
"0610043K17Rik",0.252990308491897,-0.963941927566363
"1110002E22Rik",0.0786675412559383,-2.92215174974376
"1110002J07Rik",0.175389967280439,0.81952881689386
"1110002L01Rik",0.674320352595437,-0.266514492264847
"1110003F10Rik",0.284521732906358,2.5338633627292
"1110004F10Rik",0.0991260960596174,-0.265232193183543
"1110006O24Rik",0.457812635212008,-0.50002806220691
"1110017D15Rik",0.668061178574438,-1.51376863257083
"1110018N20Rik",0.612633403402882,-0.718667998222915
"1110019D14Rik",0.0762600862076022,0.750891600820771
"1110020A21Rik",0.31752225137269,-0.562565102176096
"1110025M09Rik",0.0975004996265943,1.1759212964076
"1110028F11Rik",0.868846617847861,-0.0887289902663305
"1110032A03Rik",0.58943946191817,-0.0881095667132359
"1110032F04Rik",0.854314209608261,0.648866595376929
"1110035H17Rik",0.14041203461169,4.16300941012116
"1110038B12Rik",0.00255463415109102,0.599398690608308
"1110038F14Rik",0.0585894227261011,-0.57994071942496
"1110046J04Rik",0.897115479170164,0.449802194257411
"1110051M20Rik",0.910656487844659,-0.0705020072452831
"1110059E24Rik",0.0962239907051344,0.280210745356463
"1110059G10Rik",0.133754001934767,-0.338524786321407
"1110065P20Rik",0.00123356788043938,-1.21512614046818
"1190001M18Rik",0.205701546502917,-4.17670431856554
"1190005I06Rik",0.25946798675779,0.546836786764273
"1190007I07Rik",0.649157100255914,0.143505078063123
"1200007C13Rik",0.423052113624988,-2.76203467890729
"1300002E11Rik",1.00297760048727e-26,1.92399467221511
"1300014J16Rik",0.320658164078399,0.674340074176014
"1300017J02Rik",4.88966109253931e-10,-0.685803841651155
"1500002C15Rik",0.835352311713758,0.376776055277484
"1500002F19Rik",0.987441590166764,-0.0541160132833252
