"Gene.Symbol","log2FoldChange","pvalue","padj"
"Trp53bp1",0.144595458497475,0.526794155661202,0.665338151916108
"Notum",-0.141218825750846,0.526822664980894,0.665338151916108
"Tirap",-0.140620763875633,0.526873293433292,0.665352449861634
"Ptpn18",0.267254038268387,0.527049285189678,0.665525046654657
"Gm34574",0.553428423217222,0.527158116717097,0.665612818265725
"4930426L09Rik",-1.04395637333757,0.527172034790079,NA
"Fbxo22",-0.0870068945509054,0.527260449478555,0.665692371770232
"Lrrc75aos1",1.14523743689714,0.527379326967788,NA
"Gmfg-ps",-1.37631230363284,0.527403374144405,NA
"Cyp11a1",-1.37631230363284,0.527403374144405,NA
"Epsti1",0.271402572383401,0.527472778695836,0.665910779011367
"Zfp553",-0.14282305229736,0.52755965715034,0.665970789513298
"Gm29861",1.33316386093077,0.527615701856568,NA
"LOC118568184",1.33316386093077,0.527615701856568,NA
"Zup1",-0.153391736654213,0.527621612306655,0.665999331209154
"Ttll5",-0.135503788579888,0.527832328376771,0.666215630634076
"LOC118568278",1.12526202614578,0.528067240719111,NA
"Gm19774",1.19020817743868,0.528075043367773,NA
"Zfp85os",-0.414353341782877,0.528187525786725,0.666614244631069
"Gm38843",-1.39320287331607,0.528336611846376,NA
"Mir5100",-1.39320287331607,0.528336611846376,NA
"Gm23442",-1.39320287331607,0.528336611846376,NA
"Parp12",0.105599760381347,0.528506343545296,0.666962550515799
"Stoml1",0.134256614461492,0.528566870850896,0.666962550515799
"Mynn",-0.120501347899278,0.52858171059074,0.666962550515799
"Zscan21",-0.147603362442537,0.528639437711329,0.666985671000273
"Gm31127",-0.897517792906721,0.528664537071952,NA
"Gm36649",0.457108056120574,0.52867983619502,0.666986926084304
"Pheta2",0.517428598333084,0.528810415361495,0.667101945209721
"Hsbp1",-0.112654581639668,0.528941415837113,0.667217478640347
"Gm16537",1.33327559610594,0.529040933567743,NA
"Rmnd5a",0.129244511243371,0.529049690381189,0.667304330035945
